ID,Title,Url,Summary,Year,DeveloperName,DeveloperID,GameID,1,Tetris,https://www.igdb.com/games/tetris,"Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.

The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.",1989,Nintendo,70,8197
111,Shin Megami Tensei: Persona 4,https://www.igdb.com/games/persona-4,"An entry in the JRPG/visual novel hybrid Persona series in which the player has to harness the power of Personas and fight entities called Shadows by forging bonds with the locals of Inaba, a rural Japanese town thrown into unrest by inexplicable murders committed under cover of foggy weather and rumours of a television channel said to broadcast mysterious images on rainy nights.",2008,Atlus,818,9600
112,Civilization,https://www.igdb.com/games/sid-meiers-civilization,"Sid Meier's Civilization is a turn-based strategy computer game created by Sid Meier for MicroProse in 1991.The game's objective is ""...to build an empire that would stand the test of time"". The game begins in 4000 BC, and the players attempt to expand and develop their empires through the ages until modern and near-future times. It is also known simply as Civilization.",1991,"MicroProse Software, Inc.",9150,902
113,Star Wars: TIE Fighter,https://www.igdb.com/games/star-wars-tie-fighter,"Serve the Emperor, join the Imperial Navy, and save the galaxy. Become a recruit of the Imperial Navy under the command of Darth Vader, and pilot space vehicles that will leave you breathless.

In the wake of the Battle of Hoth, through their treachery at Yavin, the alliance of Rebels and other criminals have threatened the very foundation of the peaceful Empire. The Imperial Navy is called upon to eradicate the last of the rebellion and restore law and order. As an Imperial navy starfighter pilot, you will safeguard imperiled lives thoughout the galaxy. Join the Emperor's cause in eliminating the Rebel uprising as the Empire strikes back!",1994,Totally Games,77,166
114,Stardew Valley,https://www.igdb.com/games/stardew-valley,"Stardew Valley is an open-ended country-life RPG! You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!",2016,ConcernedApe,8452,17000
115,Day of the Tentacle,https://www.igdb.com/games/day-of-the-tentacle,"Day of the Tentacle, also known as Maniac Mansion II: Day of the Tentacle, is a 1993 graphic adventure game developed and published by LucasArts. It is the sequel to the 1987 game Maniac Mansion. The game's plot follows Bernard Bernoulli and his friends Hoagie and Laverne as they attempt to stop the evil Purple Tentacle — a sentient, disembodied tentacle — from taking over the world. The player takes control of the three and solves puzzles while using time travel to explore different periods of history.

Dave Grossman and Tim Schafer co-led the game's development, their first time in such a role. The pair carried over a limited amount of elements from Maniac Mansion and forwent the character selection aspect to simplify development. Inspirations included Chuck Jones cartoons and the history of the United States. Day of the Tentacle is the eighth LucasArts title to use the SCUMM engine, and the company's first title to feature voice acting.

The game was released simultaneously on floppy disk and CD-ROM to critical acclaim and commercial success. Critics focused on its cartoon-style visuals and comedic elements. Day of the Tentacle has featured regularly in lists of ""top"" games published more than two decades after its release, and aspects have been referenced in popular culture.",1993,LucasArts,10,193
116,Madden NFL Football (Series),https://www.igdb.com/games/john-madden-football,"Game play modes include regular season, playoffs and sudden death. The game features 16 regular teams plus one All-Madden team, each with their own strengths and weaknesses. Play actions include selecting a pass recipient as a play unfolds, block tackles, dives and sackings. Different weather conditions come into play when it's wet, snowy or muddy.",1990,Park Place Productions,2376,4400
117,Zork,https://www.igdb.com/games/zork-i-the-great-underground-empire,"Zork is one of the earliest interactive fiction computer games, with roots drawn from the original genre game, Colossal Cave Adventure. The first version of Zork was written in 1977–1979 using the MDL programming language on a DEC PDP-10 computer.",1980,Infocom,368,1944
118,Contra (AKA Probotector),https://www.igdb.com/games/contra,"Contra (also known as Gryzor in Oceania and Europe), is a 1987 run and gun action game developed and published by Konami originally released as a coin-operated arcade game on February 20, 1987. The game had multiple ports, including for various computer formats. Several Contra sequels were produced following the original game.",1987,Konami,129,4598
119,Left 4 Dead 2,https://www.igdb.com/games/left-4-dead-2,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale.",2009,Valve,56,124
120,Civilization II,https://www.igdb.com/games/sid-meier-s-civilization-iii,"Civilization III, like the other Civilization games, is based around building an empire, from the ground up, beginning at start of recorded history and continuing beyond the current modern day. The player's civilization is centered around a core of cities that provide the resources necessary to grow the player's cities, construct city improvements, wonders, and units, and advance the player's technological development. The player must balance a good infrastructure, resources, diplomatic and trading skills, technological advancement, city and empire management, culture, and military power to succeed.",2001,Firaxis Games,377,310
121,Baldur’s Gate II: Shadows of Amn,https://www.igdb.com/games/baldurs-gate-ii-shadows-of-amn,"Every World has conflict. Good and evil. Friend and foe. Safety and danger. In Baldur's Gate II: Shadows of Amn, you'll find yourself between these factions. This epic sequel to the Roleplaying Game of the Year will immerse you in a world of intrigue, adventure and fierce combat where your ability to discern the difference between these sides - with the assistance of steel and spell - determines your fate. Set in the Forgotten Realms campaign setting, Baldur's Gate II is the most stunning Advanced Dungeons and Dragons game to date.",2000,BioWare,2,6
122,Wolfenstein 3D,https://www.igdb.com/games/wolfenstein-3d,"Wolfenstein 3D is a first-person shooter presented with rudimentary 3D graphics and a follow-up to the top-down infiltration game Castle Wolfenstein. The game is broken up into levels, each of which is a flat plane divided into areas and rooms by a grid-based pattern of walls and doors, all of equal height. Each level is themed after Nazi bunkers and buildings. To finish a level, the player must traverse through the area to reach an elevator. Levels are grouped together into named episodes, with the final level focusing on a boss fight with a particularly difficult enemy. While traversing the levels, the player must fight Nazi guards and soldiers, dogs, and other enemies while managing supplies of ammunition and health.",1992,id Software,184,284
123,Mario Kart 8 (2014) / Mario Kart 8 Deluxe (2017),https://www.igdb.com/games/mario-kart-8,"Turn your racing experience upside down! Nintendo’s Mario Kart franchise comes to the Wii U console in full HD, introducing new racing circuit designs and anti-gravity karts that will have players driving upside down. And for the first time, all of Bowser’s seven Koopalings are playable characters-- get a taste of being bad on the race track by playing as Iggy, Larry, Lemmy, Ludwig, Morton, Roy and Wendy. Players will also enjoy a variety of series-favorite features, including the return of 12-player online competitive play, hang-gliders, underwater racing and motorbikes.",2014,Nintendo EAD Software Development Group No.1,1103,2350
124,Gran Turismo,https://www.igdb.com/games/gran-turismo,"Gran Turismo is a racing game designed by Kazunori Yamauchi and is the first entry in the critically acclaimed simulator racing series bearing the same name. After five years of development time, it was well-received publicly and critically, shipping a total of 10.85 million copies worldwide as of March 2013, making it the best-selling PlayStation game. The game uses two different modes: Arcade Mode and Gran Turismo Mode. In the arcade mode, the player can freely choose the courses and vehicles they wish to use. Winning races unlocks additional cars and courses. However, Gran Turismo Mode requires the player to earn different levels of driver's licenses in order to qualify for events, and earn credits, trophies and prize cars by winning race championships. Gran Turismo features 140 cars and 11 race tracks (as well as their reversed versions).",1997,Polyphony Digital,884,1594
125,Dishonored,https://www.igdb.com/games/dishonored,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make.",2012,Arkane Studios,19,533
126,Soul Calibur,https://www.igdb.com/games/soulcalibur,"SoulCalibur is a weapon-based 3D fighting game developed by Project Soul and produced by Namco. It is the second game in the Soul series, preceded by Soul Edge (1996). Originally released in arcades in 1998, it ran on the Namco System 12 hardware. In 1999 it was ported to the Dreamcast with improved graphics and new features. The North American version was released in September 1999 as a launch title for the Dreamcast and was part of the successful launch of the new console. It became available as a downloadable title on Xbox 360's Xbox Live Marketplace in 2008.
The title brought many innovations to the fighting game genre that include a heavy emphasis on weapons and a unique eight-way movement system. Soulcalibur is widely regarded as one of the best Dreamcast titles and is one of the most critically acclaimed fighting games of all time.",1998,Project Soul,732,1564
127,Rez (2002) / Rez Infinite (2016),https://www.igdb.com/games/rez,A rail shooter with a heavy emphasis on audiovisual elements in which a hacker attempts to breach an AI integral for the continuation of the human race to prevent it from shutting down due to information overload.,2001,United Game Artists,2009,11244
128,Double Dragon (1987) / Double Dragon Advance (2003),https://www.igdb.com/games/double-dragon,"The player character has a repertoire of martial art techniques which they can perform by using the joystick and three action buttons (kick, jump, and punch) individually or in combination. Techniques range from basic punches and kicks, to more elaborate manoeuvres like hair grabbing moves and elbow strikes. When playing with another player, one can assist the other by grabbing their partner's opponent from behind. Caution should be taken, though, as some enemies are able to do the same thing to the players. The player begins the game with a certain number of extra lives and a life gauge which depletes as the player takes hits. If the life gauge runs out or the time limit reaches zero, the player will lose a life.

There is a small variety of enemy characters that the player will face through the course of the game. Certain enemies carry melee weapons, which can be knocked out of their hands and picked up to use against them. Available weapons include baseball bats, whips, throwing knives, and dynamite; in addition, rocks, oil drums, and boxes can be found in certain places.

The game is divided into four different stages or ""missions,"" which consist of a city slum, a factory, the woods, and the gang's hideout. The game normally ends if a single player defeats the final boss alone. However, if two players manage to complete the game together, they are then forced to fight each other in order to determine who will win Marian's affections.",1987,Arc System Works,1218,6787
129,Sonic the Hedgehog 2,https://www.igdb.com/games/sonic-the-hedgehog-2,"Dr. Eggman (aka Dr. Robotnik) has returned, turning helpless animals into robots and forcing them to build his ultimate weapon, the Death Egg! But this time, Sonic has a friend that can help him: Tails! Find the 7 Chaos Emeralds and stop Dr. Robotnik’s evil scheme!",1992,Sonic Team,395,4438
130,Warcraft II: Tides of Darkness,https://www.igdb.com/games/warcraft-ii-tides-of-darkness,"Warcraft II: Tides of Darkness is a Strategy video game published by Blizzard Entertainment released on 1995 for MS-DOS. Warcraft 2 is a successor of the popular Warcraft real-time strategy game. The game contains many improvements over the previous version in graphics, sounds and playability. The Multiplayer was also greatly improved allowing up to 8 players in the marvelous multiplayer skirmish.",1995,Blizzard Entertainment,51,130
131,Asteroids,https://www.igdb.com/games/asteroids,"Asteroids is an arcade space shooter released in November 1979. The player controls a spaceship in an asteroid field which is periodically traversed by flying saucers. The objective of the game is to destroy both, asteroids and saucers. The triangular ship can rotate left and right, fire shots straight forward, and thrust forward. Once the ship begins moving in a direction, it will continue in that direction for a time without player intervention unless the player applies thrust in a different direction. The ship eventually comes to a stop when not thrusting. The player can also send the ship into hyperspace, causing it to disappear and reappear in a random location on the screen, at the risk of self-destructing or appearing on top of an asteroid.",1979,Atari,82,7758
132,Metroid,https://www.igdb.com/games/metroid,"It's you against the evil Mother Brain in the thrilling battle of Metroid! You're inside the fortress planet Zebes. The planet of endless secret passageways where the Metroid are multiplying. Left alone the Metroid are harmless. But in the wrong hands they could destroy the galaxy. It's up to you to prevent the Mother Brain that controls Zebes from using the Metroid for evil purposes. But that won't be easy. You'll have to use your spacesuit to absorb valuable energy for your search to gain the use of power items like the Ice Beam, Wave Beam, High Jump Boots and Varia. If you survive, it will be you and your acquired powers against the Mother Brain.",1986,Nintendo R&D1,1809,1101
133,Limbo,https://www.igdb.com/games/limbo,Limbo is a black and white puzzle-platforming adventure. Play the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister.,2010,Playdead,854,1331
134,"Elder Scrolls IV, The: Oblivion",https://www.igdb.com/games/the-elder-scrolls-iv-oblivion,"The Elder Scrolls IV: Oblivion, the fourth game in the Elder Scrolls story, is set within the province of Cyrodiil, the heartland and Imperial capital of Tamriel. Emperor Uriel Septim VII is assassinated in flight from his own palace, but just before he dies he passes on to you the mystic Amulet of Kings. The adventure proper begins with the quest to find Uriel's lost and illegitimate son who is the only heir to the throne. In a world where the forces of darkness seek their ultimate dominion over the ranks of man and mer alike, you alone stand between the future of Tamriel and the gates of Oblivion.",2006,Bethesda Game Studios,126,59
135,Elite,https://www.igdb.com/games/elite,"Elite is a space trading video game, written and developed by David Braben and Ian Bell and originally published by Acornsoft for the BBC Micro and Acorn Electron computers in September 1984.Elite's open-ended game model, and revolutionary 3D graphics led to it being ported to virtually every contemporary home computer system, and earned it a place as a classic and a genre maker in gaming history. The game's title derives from one of the player's goals of raising their combat rating to the exalted heights of ""Elite"".

Elite was one of the first home computer games to use wire-frame 3D graphics with hidden line removal. It added graphics and twitch gameplay aspects to the genre established by the 1974 game Star Trader. Another novelty was the inclusion of The Dark Wheel, a novella by Robert Holdstock which gave players insight into the moral and legal codes to which they might aspire.",1984,Acornsoft,1374,2951
136,Myst,https://www.igdb.com/games/myst,"A mystical journey through worlds that changed the concept of an adventure game.

Lose yourself in fantastic virtual exploration, blurring the line between fantasy and reality, challenging your wits, instincts, and powers of observation like never before. The fantasy beckons... can you resist its call?",1993,Cyan Worlds,326,236
137,Prince of Persia,https://www.igdb.com/games/prince-of-persia--2,"The game is set in ancient Persia. While the sultan is fighting a war in a foreign land, his vizier Jaffar, a wizard, seizes power. Jaffar's only obstacle to the throne is the Sultan's daughter (although the game never specifically mentions how). Jaffar locks her in a tower and orders her, under threat of execution, to become his wife. The game's nameless protagonist, whom the Princess loves, is thrown into the palace dungeons. The player must lead the protagonist out of the dungeons and to the palace tower, defeating Jaffar and freeing the Princess in under 60 minutes. In addition to guards, various traps and dungeons, the protagonist is further hindered by his own doppelgänger, an apparition of his own self that is conjured out of a magic mirror.",1989,Brøderbund Software,195,2472
138,Pitfall!,https://www.igdb.com/games/pitfall,Pitfall! is a video game designed by David Crane for the Atari 2600 and released by Activision in 1982. The player controls Pitfall Harry and is tasked with collecting all the treasures in a jungle within 20 minutes while avoiding obstacles and hazards.,1982,Activision,66,5411
139,Celeste,https://www.igdb.com/games/celeste,"Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain.",2018,Extremely OK Games,33387,26226
140,"Legend of Zelda, The: Majora's Mask",https://www.igdb.com/games/the-legend-of-zelda-majora-s-mask,"The Legend of Zelda: Majora's Mask is a direct sequel to Ocarina of Time, it utilizes the same engine and visual style as its predecessor. The game retains the traditional elements of Zelda games as well as those introduced in Ocarina of Time, such as active blocking with a shield, various throwing items, and the usage of melodies played on the ocarina to solve puzzles. Compared to the previous Zelda games, this installment is more oriented towards interaction with NPCs and has a larger variety of items, optional quests, and mini-games. It also includes a time system that spans three days, and this cycle must be reset periodically to progress through the game.",2000,Nintendo EAD Software Development Group No.3,1366,1030
141,NHL Hockey (Series),https://www.igdb.com/games/nhl-hockey,NHL Hockey (titled EA Hockey outside North America) is an ice hockey game by Electronic Arts.,1991,Park Place Productions,2376,27062
142,Dota 2,https://www.igdb.com/games/dota-2,"Dota 2 is a multiplayer online battle arena video game and the stand-alone sequel to the Defense of the Ancients (DotA) mod. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",2013,Valve,56,2963
143,FIFA Soccer (Series),https://www.igdb.com/games/fifa-international-soccer,FIFA International Soccer is a 1993 association football video game developed by EA Canada's Extended Play Productions team and published by Electronic Arts. The game was released for the Sega Mega Drive/Genesis console in December 1993 and ported to numerous other systems in 1994. It is the first game in the FIFA series.,1993,Extended Play Productions,676,4345
144,Donkey Kong Country,https://www.igdb.com/games/donkey-kong-country,"Donkey Kong Country is a side scrolling platformer by British developers Rare in 1994. It featured revolutionary pre-rendered 3D graphics that give the game a very unique look compared to most other games on consoles at the time. The two playable characters featured in the game are the titular character, Donkey Kong and his nephew, Diddy Kong. Together the two swing, climb, jump, swim, cartwheel, ride animals, and blast out of barrels on their way to recover their stolen bannanas from the evil King K. Rool and his Kremling army. The adventure takes you through a variety of different environments and levels that continually change up gameplay. Donkey Kong Country also provides plenty of opportunities for exploration with almost every level having a multitude of collectible, shortcuts, and hidden bonus areas.",1994,Rare,771,1090
145,Left 4 Dead,https://www.igdb.com/games/left-4-dead,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.

Set in the immediate aftermath of the zombie apocalypse, L4D's survival co-op mode lets you blast a path through the infected in four unique “movies,” guiding your survivors across the rooftops of an abandoned metropolis, through rural ghost towns and pitch-black forests in your quest to escape a devastated Ground Zero crawling with infected enemies. Each ""movie"" is comprised of five large maps, and can be played by one to four human players, with an emphasis on team-based strategy and objectives.

New technology dubbed ""the AI Director"" is used to generate a unique gameplay experience every time you play. The Director tailors the frequency and ferocity of the zombie attacks to your performance, putting you in the middle of a fast-paced, but not overwhelming, Hollywood horror movie.

Addictive single player, co-op, and multiplayer action gameplay from the makers of Counter-Strike and Half-Life Versus Mode lets you compete four-on-four with friends, playing as a human trying to get rescued, or as a zombie boss monster that will stop at nothing to destroy them.",2008,Certain Affinity,57,122
146,Shenmue,https://www.igdb.com/games/shenmue,"""He shall appear from a far Eastern land across the sea. A young man who has yet to know his potential. This potential is a power that can either destroy him, or realize his will. His courage shall determine his fate. The path he must traverse, fraught with adversity, I await whilst praying. For this destiny predetermined since ancient times... A pitch, black night unfolds with the morning star as its only light. And thus the saga, begins...""

This first chapter of Shenmue kicks off Yu Suzuki's cinematic Dreamcast tour-de-force, an exploration-heavy adventure that has players immerse themselves in Yokosuka, Japan. Players slip into the role of a young martial artist named Ryo Hazuki, who is on the trail of his father's killer. On the way, players must talk with hundreds of characters, engage in martial arts battles, and marvel at the realistic depiction of the Japanese coastal town.",1999,Sega AM2,830,1217
147,Resident Evil 2 (1998) / Resident Evil 2 (2019),https://www.igdb.com/games/resident-evil-2,"Resident Evil 2 is a sequel to the first Resident Evil title. Like the previous game in the series, Resident Evil 2 is a 3D action-adventure using three-dimensional polygon characters over two-dimensional pre-rendered backgrounds, with the action viewed through a variety of cinematic fixed camera angles in each room. Players can choose to play as one of two possible characters, each goes through the same initial scenario but with differences in the type of weaponry they find and the people they meet along the way.",1998,Capcom Planning Room 2,42627,880
148,Defender,https://www.igdb.com/games/defender,"Defender is an arcade video game developed released by Williams Electronics in 1980. A shooting game featuring two-dimensional (2D) graphics, the game is set on a fictional planet where the player must defeat waves of invading aliens while protecting astronauts. Development was led by Eugene Jarvis, a pinball programmer at Williams; Defender was Jarvis's first video game project, and drew inspiration from Space Invaders and Asteroids. Williams planned to display the game at the Amusement & Music Operators Association (AMOA) trade show, though development delays resulted in the team working on the game up until the show started.

Defender was commercially successful, selling over 55,000 units to become the company's best selling arcade game. Praise among critics focused on the game's audio-visuals and gameplay. It is frequently listed as one of Jarvis's best contributions to the video game industry, as well as one of the most difficult video games. Defender was ported to numerous platforms, inspired the development of other games, and was followed by sequels and many imitations.",1981,Williams Electronics,1839,3873
149,Civilization V,https://www.igdb.com/games/sid-meier-s-civilization-v,"Sid Meier's Civilization V is a turn-based strategy game where the player leads a civilization from the stone-age all the way to future tech, there is more than one way to win, achieving one of a number of different victory conditions through research, exploration, diplomacy, expansion, economic development, government and military conquest. You will face other civilizations, either online as other people or played by the computer, civilization 5 features a advanced diplomacy system when dealing with computer controlled civs or computer controlled city-states.",2010,Firaxis Games,377,866
150,Mortal Kombat II,https://www.igdb.com/games/mortal-kombat-ii,"The Mortal Kombat fighters, plus several new ones, return for a tournament held by the evil Shang Tsung of the Outworld. The action is one-on-one as before, and famed for its high level of violence and blood (other than the sanitised Nintendo version). There are 5 difficulty levels and optional credits, as well as the usual two player mode including same character duels.",1993,Midway,566,1619
151,Bayonetta 2,https://www.igdb.com/games/bayonetta-2,"The witching hour strikes again. Brimming with intricate battles that take place in, on and all over epic set pieces, Bayonetta 2 finds our sassy heroine battling angels and demons in unearthly beautiful HD. You’re bound to love how it feels to string together combos with unimaginable weapons and to summon demons using Bayonetta’s Umbran Weave in this frantic stylized action game.",2014,PlatinumGames,852,2135
152,Divinity: Original Sin II,https://www.igdb.com/games/divinity-original-sin-ii,"Divinity: Original Sin II is a single- and multiplayer top-down, party-based role-playing game with pen & paper RPG-like levels of freedom. It features turn-based combat, a strong focus on systematic gameplay and a well-grounded narrative.",2017,Larian Studios,510,11800
153,Diablo,https://www.igdb.com/games/diablo,"Diablo is an isometric strategy RPG and one of the most well-known examples of the action-RPG subgenre. Although some of the game mechanics resemble a typical RPG, all actions are done in real-time just like in an action game. The player have to kill hordes of monsters through randomized dungeon levels in order to gain experience points, gold and a variety of equipment to bolster the hero's monster-killing potency.",1996,Blizzard North,59,125
154,Wii Sports,https://www.igdb.com/games/wii-sports,"Bowl like a pro or go for that home run...
Experience Tennis, Baseball, Golf, Bowling and Boxing as you never did before. Thanks to the Wii Remote, each sport will be immediately familiar and easy to play. And, when you feel ready, challenge your friends and family: everybody will be in for some serious Wii Sports fun!",2006,Nintendo EAD Software Development Group No.2,1246,2181
155,Thief: The Dark Project,https://www.igdb.com/games/thief-the-dark-project,"Thief is a first-person stealth game that likes the dark. You sneak through the ruins of haunted cathedrals, subterranean ruins, and forbidding prisons, in a dark and sinister city - heavily inspired by Steampunk and the Dark Ages. Garrett finds an ally in the shadows, as he steals for money and uncovers the hidden agendas of allies and enemies. The story that unravels is one of deception and revenge.",1998,Looking Glass Studios,3,2
156,Rocket League,https://www.igdb.com/games/rocket-league,"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations.",2015,Psyonix,711,11198
157,Doom II,https://www.igdb.com/games/doom-ii,"Celebrate Doom's 25th anniversary with the re-release of Doom II. This beloved sequel to the groundbreaking Doom (1993) gave players the brutal Super Shotgun to bear against deadlier demons, and the infamous boss, the Icon of Sin.

The re-release of DOOM II includes:
- The Master Levels, 20 additional levels made by the community and supervised by the developers
- Local 4 player multiplayer
- Local 4 player co-op

To save Earth, you must descend into the depths of hell, survive demon hordes, and take part in the fiercest battle ever.",2019,"Nerve Software, LLC",187,121503
158,Hotline Miami,https://www.igdb.com/games/hotline-miami,"A top-down slasher/shooter with unlockable gameplay-altering masks and weapons, featuring a neon-flavoured electronic aesthetic, in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within, as he stumbles through unreal visions and inconsistencies without any answers to how, why or who.",2012,Dennaton Games,1003,1384
159,Command & Conquer,https://www.igdb.com/games/command-conquer,"Experience the game that started it all! Enter a gritty, high-tech world and take advantage of electronic intelligence and covert surveillance to determine who reigns supreme. Join either the forces of the Global Defense Initiative (GDI) or the Brotherhood of Nod as you build bases, muster forces and dominate your enemies. All for the love of power. Play as the Brotherhood and obey the charismatic Kane’s every command or take control of GDI forces as they seek to save the world from Kane’s ambition. Gather Tiberium to produce tanks, infantry and more to decide the fate of the world.",1995,Westwood Studios,113,647
160,Fallout 2,https://www.igdb.com/games/fallout-2,"A turn-based tactical Western RPG in which the Chosen One is tasked with exploring post-nuclear California to locate and retrieve the fabled Garden of Eden Creation Kit for their famine-stricken tribe, while coming into contact through branching dialogue trees with numerous tribes, factions and micro-civilizations, each with their own virtues, vices, socioeconomic situations and political agendas.",1998,Black Isle Studios,12,14
161,Spider-Man (2018),https://www.igdb.com/games/marvels-spider-man,"Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.",2018,Insomniac Games,834,19565
162,Quake III Arena,https://www.igdb.com/games/quake-iii-arena,"Welcome to the Arena, where high-ranking warriors are transformed into spineless mush. Abandoning every ounce of common sense and any trace of doubt, you lunge onto a stage of harrowing landscapes and veiled abysses. Your new environment rejects you with lava pits and atmospheric hazards as legions of foes surround you, testing the gut reaction that brought you here in the first place. Your new mantra: Fight or be finished.",1999,id Software,184,355
163,Star Fox 64 (AKA Star Fox: Lylat Wars),https://www.igdb.com/games/star-fox-64,"The update to the 16-bit Super NES title continues the original's on-rails 3D shooting action on the Nintendo 64. Starring Fox McCloud, Peppy Hare, Falco Lombardi, and Slippy Toad, this new 64-bit version contains 15 plus levels, easy, medium, and difficult paths, forward-scrolling levels as well as full 3D realms, and a three-part multiplayer mode using a four-player split screen. In addition to plenty of Arwing action, the game introduces a new hover tank and even features a submarine level. The 8-megabyte cartridge also boasts voice samples from 23 different characters instead of the original's animal noises. Star Fox 64 was the first game to feature Rumble Pak support. A Rumble Pak bundle and standalone version of the game were sold. Released in Europe under the name Lylat Wars.",1997,Nintendo EAD,421,2591
164,Command & Conquer: Red Alert,https://www.igdb.com/games/command-conquer-red-alert,"Travel to an alternate universe where dark experiments have permanently altered time. Or have they? Soviet tanks crush city after city while Allied cruisers shell bases. Spies lurk, landmines await, and strange new technologies aid both sides in the struggle for ultimate control. In this parallel reality, the mighty Soviet Empire has begun to “liberate” all of Europe. Cities fall and countries collapse before the overwhelming might of the Red Storm. The Allies are scrambling to meet the onslaught, but they have been caught by surprise. Red Alert puts the fate of the world in your hands!",1996,Westwood Studios,113,295
165,Fez,https://www.igdb.com/games/fez,"Gomez is a 2D creature living in a 2D world. Or is he? When the existence of a mysterious 3rd dimension is revealed to him, Gomez is sent out on a journey that will take him to the very end of time and space. Use your ability to navigate 3D structures from 4 distinct classic 2D perspectives. Explore a serene and beautiful open-ended world full of secrets, puzzles and hidden treasures. Unearth the mysteries of the past and discover the truth about reality and perception. Change your perspective and look at the world in a different way.",2012,Polytron Corporation,1013,1991
166,Gears of War,https://www.igdb.com/games/gears-of-war,"A third-person tactical shooter from Epic, running on the Unreal Engine 3. Gears of War thrusts gamers into a deep and harrowing story of humankind's epic battle for survival against the Locust Horde, a nightmarish race of creatures that surface from the bowels of the planet.

Unlike other shooters, Gears of War is all about teamwork in a big way. All game modes, levels and scenarios are designed specifically to encourage co-operative play, whether it be with A.I. partners or human players (with A.I. teammates designed with specific strengths, weaknesses and personalities.) On top of that, voice recognition will be available for players, and obviously voice chat to discuss strategy with your friends. In addition to voice chat, gamers will be able to experience individualized matchmaking, view player statistics, earn player achievements, customize their games, and build and personalize their gamer profiles over Xbox Live.",2006,Epic Games,17463,547
167,EverQuest,https://www.igdb.com/games/everquest,"EverQuest is a 3D fantasy-themed massively multiplayer online role-playing game (MMORPG) released on March 16, 1999.

Players move their character throughout the medieval fantasy world of Norrath, often fighting monsters and enemies for treasure and experience points, and optionally mastering trade skills. As they progress, players advance in level, gaining power, prestige, spells, and abilities through valorous deeds such as entering overrun castles and keeps, defeating worthy opponents found within, and looting their remains. Experience and prestigious equipment can also be obtained by completing quests given out by non-player characters found throughout the land.

EverQuest allows players to interact with other people through role-play, joining player guilds, and dueling other players (in restricted situations – EverQuest only allows player versus player (PVP) combat on the PvP-specific server, specified arena zones and through agreed upon dueling).",1999,989 Studios,241,282
168,Robotron 2084,https://www.igdb.com/games/robotron-2084,"In 2084, man creates a species of super-advanced cyborgs known as Robotrons. Recognizing the imperfect nature of their creators, the Robotrons conclude that the inefficient human race must be exterminated. In Robotron: 2084, only you and a single family of clones remain. If mankind is to survive, you must destroy the Grunts, Brains, Enforcers, and Tanks - but avoid the indestructible Hulks at all cost. Can you withstand wave after wave of android invasion and rescue Mommy, Daddy, and Mikey... before it's too late?",1982,Vid Kidz,1840,3592
